"","Country.Name","Region","IncomeGroup","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"234","Latin America & Caribbean (IDA & IBRD)","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Timor-Leste","East Asia & Pacific","Lower middle income",37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,37.88129044,43.80825043,47.003479,56.18059921,54.97655869,53.8114318866667,52.6463050833333,51.48117828,61.21802902,62.38996887,65.56777954,66.79295349,65.93543243,68.40023041,72.38722992,77.01400757,81.03141785,83.61746216,86.53527069,86.53527069
"236","Middle East & North Africa (IDA & IBRD)","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Tonga","East Asia & Pacific","Upper middle income",86.57009125,86.57009125,86.57009125,86.57009125,86.57009125,86.57009125,86.57009125,86.57009125,86.57009125,86.57009125,86.57009125,86.07772064,82.28993225,80.50045776,80.73635864,79.14517212,81.0215810133333,82.8979899066667,84.7743988,91.6434936333333,98.5125884666667,105.3816833,108.8147278,107.8886566,95.84694672,87.3094101,81.26196289,85.5576725,89.85338211,94.14909172,98.44480133,98.96528625,102.954952225,106.9446182,104.72499235,102.5053665,100.28574065,98.0661148,95.84648895,105.4404678,106.6372986,106.1302719,110.632637,119.3193893,104.6383286,102.28331759,99.92830658,103.0825806,102.4362869,102.5146713,103.6473312,106.0837326,94.52684784,95.78518677,96.47279358,100.8617935,100.8617935,100.8617935,100.8617935,100.8617935,100.8617935
"238","South Asia (IDA & IBRD)","","",23.14015,23.14015,23.14015,23.14015,23.14015,23.14015,23.14015,23.14015,23.14015,23.14015,23.14015,23.1878,23.59233,24.01544,24.18366,24.41306,24.37673,24.84473,25.17529,25.95643,27.08576,27.87342,29.18029,31.02384,32.27429,33.16863,34.00048,34.01584,34.118,34.30858,35.95715,38.16751,40.34994,42.14406,42.69978,42.69872,42.88941,43.46114,42.60157,41.68836,43.09695,43.34265,44.83616,46.59644,47.83975,49.7289,51.13736,53.18445,55.51339,55.39084,58.35051,60.8642,63.37576,63.80551,68.13716,68.44837,70.07009,68.74863,70.06026,69.78168,69.78168
"239","Sub-Saharan Africa (IDA & IBRD)","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Trinidad and Tobago","Latin America & Caribbean","High income",44.11914825,44.11914825,44.11914825,44.11914825,44.11914825,44.11914825,44.11914825,44.11914825,44.11914825,44.11914825,44.11914825,44.11914825,44.85520935,43.46171188,46.51501846,49.56832504,52.62163162,55.6749382,59.3186845775,62.962430955,66.6061773325,70.24992371,76.50576782,78.79377747,81.40541077,81.4957962,82.80793762,84.11221313,85.0821228,83.21408081,83.17368317,80.3807373,79.70011902,79.92189026,80.4301029563636,80.9383156527273,81.4465283490909,81.9547410454545,82.4629537418182,82.9711664381818,83.4793791345455,83.9875918309091,84.4958045272727,85.0040172236364,85.51222992,85.51222992,85.51222992,85.51222992,85.51222992,85.51222992,85.51222992,85.51222992,85.51222992,85.51222992,85.51222992,85.51222992,85.51222992,85.51222992,85.51222992,85.51222992,85.51222992
"241","Tunisia","Middle East & North Africa","Lower middle income",22.43922997,22.43922997,22.43922997,22.43922997,22.43922997,22.43922997,22.43922997,22.43922997,22.43922997,22.43922997,22.43922997,22.43922997,22.48513031,21.89431953,21.45401001,20.93983078,20.93947029,21.60310936,23.09996986,24.29692078,25.1410408,25.65995979,28.6210804,32.07432938,34.43013,36.698349,39.51306152,39.25662994,40.6096611,44.1897583,44.79281998,45.23974991,46.17705154,48.81256104,53.35704041,56.90597153,60.45233917,61.79141998,68.30005646,72.21405792,74.48404694,76.43502808,77.87921143,77.37941742,81.47268677,84.61930084,86.76135254,90.55892944,92.38839722,90.59867859,90.18618774,91.82141113,90.948638915,90.0758667,87.66381836,88.22575378,92.86579895,92.86579895,92.86579895,92.86579895,92.86579895
"242","Turkey","Europe & Central Asia","Upper middle income",26.92251968,26.92251968,26.92251968,26.92251968,26.92251968,26.92251968,26.92251968,26.92251968,26.92251968,26.92251968,26.92251968,26.92251968,28.95692062,29.62879944,29.57024956,31.09748936,32.62472916,34.58377075,36.4444809,36.55410004,38.45206833,37.56352997,38.35919189,38.90995026,40.40306854,42.48176956,44.56047058,46.00086975,47.9789505,50.27342987,50.94530869,52.76530838,54.44911957,57.94786072,59.61661911,62.29674911,62.12756538,61.95838165,66.826374055,71.69436646,73.60044098,83.78103638,88.2937088,90.08895111,86.85767365,83.93792725,87.90325165,90.3065033,88.51843262,80.04035187,84.28302765,88.33830261,85.18469238,100.4837189,102.8709793,102.837738,102.7405319,105.9922714,104.4788284,104.4788284,104.4788284
"243","Tuvalu","East Asia & Pacific","Upper middle income",84.11843872,84.11843872,84.11843872,84.11843872,84.11843872,84.11843872,84.11843872,84.11843872,84.11843872,84.11843872,84.11843872,84.11843872,84.11843872,84.11843872,84.11843872,84.11843872,84.11843872,84.11843872,84.11843872,84.11843872,84.11843872,84.11843872,84.11843872,84.11843872,84.11843872,84.11843872,84.11843872,84.11843872,84.11843872,84.11843872,84.11843872,80.5295352925,76.940631865,73.3517284375,69.76282501,66.1739215825,62.585018155,58.9961147275,55.4072113,56.7685381533333,58.1298650066667,59.49119186,60.96898416,62.44677646,63.92456876,65.40236106,66.88015336,68.35794566,69.83573796,71.31353026,72.79132256,74.26911486,75.74690716,77.22469946,78.70249176,82.84062195,71.0309906,68.87946701,66.72794342,41.13389969,41.13389969
"244","Tanzania","Sub-Saharan Africa","Lower middle income",2.666539907,2.666539907,2.666539907,2.666539907,2.666539907,2.666539907,2.666539907,2.666539907,2.666539907,2.666539907,2.666539907,2.735889912,2.688549995,2.779109955,3.058959961,3.080149889,3.177299976,3.302900076,3.342210054,3.397749901,3.320349932,3.06566,3.051529884,3.078239918,3.06276989,3.420840025,3.615700006,3.893589973,4.285870075,4.587739944,4.9871799945,5.386620045,5.39730978,5.389729977,5.361959934,5.376629829,5.283400059,5.72096014,7.71548241846154,9.71000469692308,11.7045269753846,13.6990492538462,15.6935715323077,17.6880938107692,19.6826160892308,21.6771383676923,23.6716606461538,25.6661829246154,27.6607052030769,29.6552274815385,31.64974976,31.4241771725,31.198604585,30.9730319975,30.74745941,27.14003944,26.71446037,27.34724998,29.43507957,32.03805923,32.03805923
"245","Uganda","Sub-Saharan Africa","Low income",3.873810053,3.873810053,3.873810053,3.873810053,3.873810053,3.873810053,3.873810053,3.873810053,3.873810053,3.873810053,3.873810053,3.88945666966667,3.90510328633333,3.920749903,3.877789974,3.878900051,4.558549881,4.654369831,4.718279839,4.802030087,5.153059959,5.459569931,8.133600235,7.238689899,8.528599739,9.168140411,10.59805012,11.66637039,12.21560001,11.89559507,11.57559013,10.69172001,10.32439995,10.15215015,10.31171989,10.55827045,10.263685224,9.969099998,11.3121700282857,12.6552400585714,13.9983100888571,15.3413801191429,16.6844501494286,18.0275201797143,19.37059021,21.1271699266667,22.8837496433333,24.64032936,24.64032936,24.64032936,24.64032936,24.64032936,24.64032936,24.64032936,24.64032936,24.64032936,24.64032936,24.64032936,24.64032936,24.64032936,24.64032936
