"","Country.Name","Region","IncomeGroup","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"11","Antigua and Barbuda","Latin America & Caribbean","High income",15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,15.05298042,16.72623062,15.05922031,24.83025932,24.83025932,24.83025932,24.83025932,24.83025932,24.83025932,24.83025932,24.83025932,24.83025932
"12","Australia","East Asia & Pacific","High income",15.81655025,15.81655025,15.81655025,15.81655025,15.81655025,15.81655025,15.81655025,15.81655025,15.81655025,15.81655025,15.81655025,17.09435081,18.38301086,19.59012985,21.81735039,23.28160095,24.07530022,24.43742943,24.78083992,25.00351906,25.15468979,25.58522987,25.64088058,26.36245918,27.00481033,27.91073036,29.51505089,29.68458939,31.49957085,32.65396118,35.35955048,38.31346893,39.70084,65.56421661,66.97921753,70.68856812,75.64778137,80.90664673,83.001325395,85.09600406,87.190682725,89.28536139,91.380040055,93.47471872,95.569397385,97.66407605,99.758754715,101.85343338,103.948112045,106.04279071,108.137469375,110.23214804,112.326826705,114.42150537,116.516184035,118.6108627,120.9657135,113.1421585,107.8080521,107.8080521,107.8080521
"13","Austria","Europe & Central Asia","High income",12.19836998,12.19836998,12.19836998,12.19836998,12.19836998,12.19836998,12.19836998,12.19836998,12.19836998,12.19836998,12.19836998,12.19836998,13.66956043,15.10840034,15.99359035,16.67403984,18.5449791,19.28277969,19.72422981,20.42885017,21.36816978,22.30216026,22.46463013,22.98781013,23.94280052,25.52486038,26.70454025,27.81727028,29.37026024,30.58758926,32.5364418,34.69429016,37.61071014,39.76937866,42.26459885,44.9769516,47.49055099,49.56702042,52.39627838,53.5797242044444,54.7631700288889,55.9466158533333,57.1300616777778,58.3135075022222,59.4969533266667,60.6803991511111,61.8638449755556,63.0472908,65.88690186,68.11264801,75.6237793,78.49945068,78.93891144,79.65540314,79.15869904,80.71942139,83.45494843,85.05713654,86.68834686,86.68834686,86.68834686
"14","Azerbaijan","Europe & Central Asia","Upper middle income",24.03103065,24.03103065,24.03103065,24.03103065,24.03103065,24.03103065,24.03103065,24.03103065,24.03103065,24.03103065,24.03103065,24.03103065,24.03103065,24.03103065,24.03103065,24.03103065,24.03103065,24.03103065,24.03103065,24.03103065,24.03103065,24.03103065,24.000288388,23.969546126,23.938803864,23.908061602,23.87731934,24.54251957,25.2077198,24.48163986,24.19890976,24.75927925,25.23917007,22.22587967,19.35499954,18.38257027,18.08035088,17.58492088,17.8298695855556,18.0748182911111,18.3197669966667,18.5647157022222,18.8096644077778,19.0546131133333,19.2995618188889,19.5445105244444,19.78945923,19.36459923,19.04788971,19.05771065,19.26004028,19.64731026,20.4384594,21.44042969,23.15973091,25.48320007,25.92642021,27.06740952,27.70849991,31.54019928,31.54019928
"15","Burundi","Sub-Saharan Africa","Low income",0.171700001,0.171700001,0.171700001,0.171700001,0.171700001,0.171700001,0.171700001,0.171700001,0.171700001,0.171700001,0.171700001,0.171700001,0.174620003,0.164120004,0.240559995,0.246690005,0.294719994,0.346096664666667,0.397473335333333,0.448850006,0.452030003,0.462460011,0.502030015,0.5363650025,0.57069999,0.589890003,0.643959999,0.626190007,0.740760028,0.741240025,0.702390015,0.787310004,0.851719975,0.959410012,0.9567040088,0.9539980056,0.9512920024,0.9485859992,0.945879996,1.044880033,1.223620057,1.198439956,1.882439971,2.1638249755,2.44520998,2.463219881,2.453700066,2.48913002,2.668489933,2.820329905,3.254610062,3.1619250775,3.069240093,3.777580023,4.546249866,5.133039951,3.681080103,3.917969942,4.057660103,4.057660103,4.057660103
"16","Belgium","Europe & Central Asia","High income",17.13532066,17.13532066,17.13532066,17.13532066,17.13532066,17.13532066,17.13532066,17.13532066,17.13532066,17.13532066,17.13532066,17.13532066,17.54558945,19.5174408,20.50785065,20.80525017,22.0024299633333,23.1996097566667,24.39678955,25.64981079,25.11825943,24.48595047,26.41571045,27.14603043,28.19136047,30.88913918,31.67756081,32.99660873,34.00875092,35.55627823,37.68367004,39.10773087,41.97970963,44.85168839,47.91450882,53.43436813,55.44696045,56.0070304866667,56.5671005233333,57.12717056,58.16905975,58.8563385,59.38277817,59.83446121,61.02286911,61.08547974,61.65359116,61.20013046,62.08623886,65.26769257,67.82901001,69.8425293,71.1920166,72.11549377,72.99739838,74.55976105,75.89064026,79.66172791,78.90116882,78.90116882,78.90116882
"17","Benin","Sub-Saharan Africa","Lower middle income",0.128769994,0.128769994,0.128769994,0.128769994,0.128769994,0.128769994,0.128769994,0.128769994,0.128769994,0.128769994,0.128769994,0.128769994,0.236210003,0.430500001,0.709710002,0.686320007,0.743160009,0.989759982,1.095759988,0.973290026,1.060279965,1.457069993,1.731750011,1.879169941,1.944990039,2.014159918,2.414109945,2.290469885,2.222480059,2.364039898,2.155380011,2.460309982,2.31566,2.095269918,2.144010067,2.143549919,2.112449884,2.562000036,2.9138100145,3.265619993,3.71152997,4.496850014,5.321829796,5.906549931,5.982850075,5.914169788,6.810860157,8.137189865,8.047260284,10.23198986,13.77511978,12.85589027,13.9552002,15.96483994,15.95351982,13.5534296,12.94939995,12.27414036,12.51698971,12.51698971,12.51698971
"18","Burkina Faso","Sub-Saharan Africa","Low income",0.03754,0.03754,0.03754,0.03754,0.03754,0.03754,0.03754,0.03754,0.03754,0.03754,0.03754,0.03754,0.04693,0.054949999,0.08602,0.101199999,0.201790005,0.183339998,0.222760007,0.229230002,0.21322,0.278349996,0.426149994,0.500909984,0.539619982,0.593140006,0.611819983,0.63894999,0.678569973,0.754429996,0.756060004,0.700980008,0.930050015,1.081940055,1.054250002,1.097779989,1.054270029,0.96924001,0.9841850105,0.999130011,1.077894986,1.156659961,1.41178,1.601160049,1.954249978,2.307339907,2.440969944,2.612190008,3.181050062,3.533740044,3.57942009,4.146520138,4.558869839,4.776750088,5.0769701,5.063829899,5.56196022,6.003399849,6.501870155,7.096129894,7.096129894
"19","Bangladesh","South Asia","Lower middle income",2.13338995,2.13338995,2.13338995,2.13338995,2.13338995,2.13338995,2.13338995,2.13338995,2.13338995,2.13338995,2.13338995,2.291509986,2.449630022,2.560559988,3.358860016,3.0785449745,2.798229933,3.006690025,2.390630007,3.365550041,3.245990038,3.096029997,3.801310062,4.678380013,5.044439793,5.114429951,4.984859943,4.323740005,3.718199968,3.674740076,4.208960056,4.36723560733333,4.52551115866667,4.68378671,4.84206226133333,5.00033781266667,5.158613364,5.31688891533333,5.47516446666667,5.633440018,5.631340027,6.651539803,6.344419956,6.390960217,5.889150143,6.446700096,7.361199856,7.932970047,8.884090424,10.8580904,12.274825095,13.69155979,13.80099964,13.83303976,13.86507988,15.869719505,17.87435913,18.15146065,20.5650692,24.01688957,24.01688957
"20","Bulgaria","Europe & Central Asia","Upper middle income",14.25055981,14.25055981,14.25055981,14.25055981,14.25055981,14.25055981,14.25055981,14.25055981,14.25055981,14.25055981,14.25055981,14.25055981,15.50409985,17.13919067,18.03173065,19.05385017,19.43024063,19.74670982,21.9737606,18.23545074,17.05952072,16.10189056,15.63683987,15.41180038,15.9854002,17.02923012,18.70066071,20.75403023,22.54714966,25.01054955,26.15537071,30.98031998,30.37958908,31.83337021,33.58517075,36.40219116,40.94532013,42.96567154,42.78302002,44.83275986,44.12976074,42.78107834,40.88225174,41.62207031,42.55524063,45.3680191,47.15087128,50.58832932,51.913311,54.23545074,57.79518127,59.02869034,61.35998154,64.19197845,67.56356049,70.30153656,71.2457428,71.03066254,71.52152252,71.52152252,71.52152252
